station,din_N_mn,din_N_sd,din_N_n,din_N_md,din_N_iqr,din_N_p90,din_N_gm
P7CBI,0.013471290158067103,0.007164444585683954,6,0.011518833820811985,0.0067289836582305595,0.02167513803393752,0.011914788166108768
PYC43,0.012404723827724243,0.00956688636423191,7,0.008101165563669934,0.011328749481290904,0.022428240874410407,0.009469179300970037
P5BSD,0.01273200561479784,0.006881782977409144,7,0.012439232218800665,0.0067238743296889406,0.021228567302321644,0.01020982707150692
OBY35,0.010824506476688199,0.007680566369404959,7,0.00771280047419989,0.004661974379562251,0.018978787776105344,0.009138377540814048
CMS1,0.011175768007675797,0.004553171969577726,7,0.010703962373327235,0.0054495927791064595,0.016615515554830255,0.010384944339144981
P6FGG,0.03357975285961002,0.02936438161681673,7,0.02887361318408534,0.03997407879622097,0.06903530016330214,0.021993073863209
PH1,0.047116814045187166,0.03525684627974367,7,0.05255339506521313,0.03438694624835302,0.08107584389858284,0.03542992067192475
MPL86,0.019676855406837074,0.018657105623434516,7,0.01687127542534738,0.013409216988899783,0.03777137328322059,0.014054361763808162
HR3,0.023381880606097815,0.008930667754795492,3,0.024974510355785986,0.008823518255596807,0.030122169260637623,0.022100992046738824
SMT50,0.04225694736824778,0.029674057757368894,7,0.02949244453062063,0.04639738582985276,0.08096788582120582,0.03322785001355368
BMR02,0.051701915966871556,0.02545096904405546,7,0.04792970802713337,0.029387763875235243,0.0814995772993917,0.04524615495503473
PH2,0.07184755706713038,0.05466692075425307,7,0.05801776154280141,0.07211286067167505,0.13709892704912324,0.05159845636709579
HR1,0.014343244445441208,0.010550380603673805,7,0.013011610551728675,0.013233004140722576,0.024959474595768277,0.010873160423886483
PKT42,0.03259370209763225,0.02814642692395203,7,0.013896131836489474,0.04597420828046642,0.06738782605410724,0.02063003491657259
EEB18,0.05192837479191185,0.03221147446758498,7,0.05610218484140405,0.04840814104376576,0.08932969500783396,0.04308808186111443
PH3,0.07454079091750153,0.042558701944787954,6,0.06622636008317737,0.034940289702854184,0.12037859126977303,0.06278013515172519
HR2,0.021444958734888376,0.010263231039293944,3,0.02111376623227933,0.010259222436938796,0.029718575184961217,0.019693845600294156
RRC46,0.0668110626765277,0.03906868418088296,7,0.06365580126873094,0.046880060832902706,0.11719666433009837,0.055502826371200624
HR4,0.07687105494021026,0.03685050422203502,6,0.07971796282643781,0.038238763886303234,0.11275793609268621,0.06518728127573889
PRV70,0.1802994867444482,0.02347078526543215,7,0.17421214696591325,0.02588025045718484,0.20666497129814787,0.17907893320469143
STR54,0.11715481051637625,0.049692117630435226,7,0.10275908513459768,0.052559783517328804,0.16839170476070348,0.10938919230109842
NMM79,0.046471864119946894,0.045596235236182,6,0.03115243204628914,0.028799960467337668,0.09323154557636791,0.03371843030677312
RRY47,0.19953014611563957,0.0743033565186036,7,0.23436525336099684,0.12202622413970815,0.267595711177724,0.18561746990278122
