station,dt,tn_depth,tn,month,year,din_depth,nox,nh4,din,din_N,nox_N,nh4_N,organic_N
BMR02,2019-05-23T00:00:00Z,0.101,0.427289940386102,May,2019,0.101,1.6770903298980784,1.6624336391603571,3.3395239690584355,0.0467767122346015,0.023491004250882384,0.02328570798371912,0.3805132281515005
BMR02,2019-06-12T00:00:00Z,-0.006,0.226380304235798,Jun,2019,-0.006,1.8180827505383073,2.2986122378663003,4.116694988404608,0.05766254670258334,0.02546588508679007,0.032196661615793265,0.16871775753321466
BMR02,2019-07-09T00:00:00Z,0.187,0.285733001540903,Jul,2019,0.187,3.0789562770195857,2.425764890505607,5.504721167525193,0.07710462939352537,0.043126940572213335,0.03397768882131204,0.20862837214737762
BMR02,2019-07-24T00:00:00Z,0.192,0.268785161793194,Jul,2019,0.192,3.1634444199336,3.1256966636811074,6.289141083614707,0.0880919991581912,0.04431036599000993,0.043781633168181275,0.1806931626350028
BMR02,2019-08-14T00:00:00Z,0.048,0.244473905362753,Aug,2019,0.048,1.9256350804900284,1.4962045730498714,3.4218396535399,0.04792970802713337,0.026972370572423826,0.020957337454709547,0.19654419733561965
BMR02,2019-09-05T00:00:00Z,0.104,0.524589754196872,Sep,2019,0.104,1.2451971235795,0.8405411580680143,2.0857382816475143,0.029214936111036732,0.01744147610997806,0.011773460001058677,0.4953748180858353
BMR02,2019-09-27T00:00:00Z,0.19,0.16790379450308,Sep,2019,0.19,1.0089188811970284,0.07146093896641643,1.080379820163445,0.015132880141029374,0.014131926768926776,0.001000953372102595,0.15277091436205062
BMR02,2019-10-25T00:00:00Z,0.253,0.229554230263732,Oct,2019,0.253,3.1273654294988145,2.924002959022057,6.0513683885208716,0.08476151701801185,0.043805007570989894,0.04095650944702195,0.14479271324572016
CMS1,2017-10-04T00:00:00Z,0.2,0.25,Oct,2017,0.2,0.77,6.29,7.0600000000000005,0.09888942,0.010785389999999999,0.08810403,0.15111058
CMS1,2019-05-22T00:00:00Z,0.53,0.435955141650684,May,2019,0.53,0.3143721618581293,0.3493210837426072,0.6636932456007365,0.009296351291129516,0.004403410871146817,0.004892940419982699,0.4266587903595545
